,Step,N_Iter,Accuracy,Kappa,F1
0,0.1,10,0.7573741617859264,0.4282519124028146,0.5944174953512815
1,0.1,20,0.750891265597148,0.39772130106355497,0.5530089963999708
2,0.1,30,0.7622867328749681,0.4256187573640882,0.580791962956288
3,0.1,40,0.7377875392581275,0.3876060344088541,0.5496134696016771
4,0.1,50,0.7589869281045751,0.4205958679177851,0.5728516978516978
5,0.1,60,0.7492360580595875,0.40089705462797354,0.5664943386860395
6,0.1,70,0.7590399796282149,0.4490469088437893,0.6239100916520272
7,0.1,80,0.7541592394533572,0.3953161860882908,0.5406595897479488
8,0.1,90,0.7459468635939224,0.3688505459372631,0.5224035977543758
9,0.1,100,0.750901875901876,0.4178871617164196,0.5898690637602559
10,0.2,10,0.7574166030048384,0.4062118537214263,0.5527458374927595
11,0.2,20,0.7606421356421356,0.4579981042795643,0.6337416561204993
12,0.2,30,0.7573635514811985,0.41836834413456414,0.5772264022264022
13,0.2,40,0.7476126814362108,0.4348375736627682,0.6207311562810429
14,0.2,50,0.7297130973601561,0.3823142358498408,0.5581516590690903
15,0.2,60,0.7639101094983447,0.456837646456571,0.62795730901401
16,0.2,70,0.7606209150326797,0.4255516371089193,0.5878141807437798
17,0.2,80,0.7622973431796961,0.42333145287636825,0.5725284200893956
18,0.2,90,0.7525040319157966,0.4138444484965187,0.5844562385888925
19,0.2,100,0.7671886936592819,0.45838008696187127,0.6210606060606061
20,0.30000000000000004,10,0.7263708513708514,0.3487559748044913,0.518179144884242
21,0.30000000000000004,20,0.7574059927001103,0.411338285322393,0.5667568480980022
22,0.30000000000000004,30,0.7459786945081063,0.4001595884621099,0.5641126246574043
23,0.30000000000000004,40,0.7655440964264493,0.44422845987566345,0.6026991373782263
24,0.30000000000000004,50,0.7394533571004159,0.4072894329942193,0.5889126082505042
25,0.30000000000000004,60,0.7557401748578219,0.42552628799393677,0.5808762460077059
26,0.30000000000000004,70,0.7541274085391733,0.4088823072974715,0.5712821095174037
27,0.30000000000000004,80,0.762307953484424,0.44186879909332066,0.6038757758995853
28,0.30000000000000004,90,0.7296282149223325,0.3928273011248731,0.5833183666342389
29,0.30000000000000004,100,0.7720800441388677,0.4620482516987279,0.6132272991661939
30,0.4,10,0.7476551226551227,0.3791627814225344,0.5336341818886775
31,0.4,20,0.7524934216110687,0.42759573339739965,0.6026347291053173
32,0.4,30,0.7492678889737713,0.39854752107586666,0.5551087113593776
33,0.4,40,0.7492254477548594,0.4214409352270615,0.5902180685358256
34,0.4,50,0.7557507851625499,0.3943119669655065,0.5388534259857789
35,0.4,60,0.7492466683643154,0.40921040575987944,0.5750976986539297
36,0.4,70,0.7671886936592819,0.4623836462360872,0.628938867378831
37,0.4,80,0.7361641626347509,0.3781255607993381,0.5443134538417558
38,0.4,90,0.7248111365758425,0.40334728455706714,0.6109708538587848
39,0.4,100,0.7377981495628554,0.39068437807390366,0.5611322411978688
40,0.5,10,0.7232195908666497,0.3780844659750816,0.5604556008370215
41,0.5,20,0.7459680842033783,0.4136653763495377,0.5895954509980912
42,0.5,30,0.7329280196927256,0.37849140288595945,0.5565865598575879
43,0.5,40,0.7574378236142942,0.42059991084929804,0.5756635516424673
44,0.5,50,0.7443234869705457,0.37082170715535834,0.5310028116213683
45,0.5,60,0.7459786945081063,0.37796984274767675,0.5378383780696745
46,0.5,70,0.7427425515660809,0.4138259178398426,0.597701580632253
47,0.5,80,0.7574166030048384,0.4282060760235157,0.5955378880852804
48,0.5,90,0.7639101094983447,0.43690862738764646,0.5926057425131213
49,0.5,100,0.7655440964264493,0.43249984052346746,0.5762509460773104
50,0.6,10,0.7687908496732025,0.4732884479004197,0.6436492144426482
51,0.6,20,0.7622973431796961,0.42686809735552717,0.584871385106589
52,0.6,30,0.7541592394533572,0.41462944610678654,0.5768152478755196
53,0.6,40,0.7590612002376709,0.43177152156978776,0.5957365892158665
54,0.6,50,0.7328855784738137,0.3781650169286099,0.545898677051958
55,0.6,60,0.7328961887785418,0.3718968435276074,0.5390830016217013
56,0.6,70,0.7280366692131398,0.3501076678452214,0.5168701474082552
57,0.6,80,0.739442746795688,0.4027472891895362,0.5834855621680767
58,0.6,90,0.7524828113063408,0.4171739772626019,0.5861146486973028
59,0.6,100,0.7524828113063408,0.4201353114810596,0.5865679824561403
60,0.7000000000000001,10,0.7426895000424412,0.4000998288337114,0.5688375696946436
61,0.7000000000000001,20,0.7687908496732027,0.46326732575740215,0.6266038579458355
62,0.7000000000000001,30,0.7622761225702401,0.43030602069403856,0.5875339856035227
63,0.7000000000000001,40,0.7606739665563195,0.4507189351579822,0.6165105796905257
64,0.7000000000000001,50,0.7541698497580851,0.39631261813240204,0.5379678067286953
65,0.7000000000000001,60,0.7476339020456668,0.41418291277699837,0.5956590452558195
66,0.7000000000000001,70,0.7476020711314829,0.38789876526769906,0.5460104325737136
67,0.7000000000000001,80,0.739421526186232,0.3803853088052079,0.5311043397392081
68,0.7000000000000001,90,0.7410979543332484,0.37970034556289867,0.5413174820287078
69,0.7000000000000001,100,0.7541486291486292,0.46408519269586457,0.6538533164165166
70,0.8,10,0.7606739665563195,0.4317445937085194,0.5936036800041118
71,0.8,20,0.7410555131143366,0.4128512643514829,0.5965614779547168
72,0.8,30,0.7557826160767338,0.41106298611458736,0.5686450892653759
73,0.8,40,0.7476763432645785,0.392150515757145,0.5423797470973801
74,0.8,50,0.7525358628299805,0.3999842171973179,0.5542651471359258
75,0.8,60,0.7606845768610475,0.4206517400793837,0.563790493921552
76,0.8,70,0.7410767337237926,0.39451106824576543,0.5674773925634511
77,0.8,80,0.7362596553773024,0.39600249272434573,0.5743417124405841
78,0.8,90,0.7573741617859264,0.42146478798925974,0.5806538277583354
79,0.8,100,0.731304643069349,0.37890386203765114,0.5477299207585422
80,0.9,10,0.7475277989983873,0.42149507250947327,0.5933894525265417
81,0.9,20,0.7671780833545538,0.45263388701079116,0.6133415068623049
82,0.9,30,0.7524828113063408,0.4001726223259693,0.5626136363636364
83,0.9,40,0.7460317460317459,0.430425405608152,0.6211946117763617
84,0.9,50,0.7541592394533572,0.3988204276288189,0.5521924934968414
85,0.9,60,0.7622867328749681,0.43797469609488443,0.5955828685342343
86,0.9,70,0.7671780833545538,0.4518737606539702,0.6108756293658001
87,0.9,80,0.7361853832442068,0.38022198506458915,0.5425315425315426
88,0.9,90,0.7410236822001528,0.39198769919792276,0.5494651219861801
89,0.9,100,0.7394745777098718,0.40133320100512804,0.587822136608267
90,1.0,10,0.7509230965113318,0.3984697356150416,0.5478093611385052
91,1.0,20,0.7688439011968423,0.4618860654007959,0.6207824823247432
92,1.0,30,0.750901875901876,0.3883015679679598,0.538657852899339
93,1.0,40,0.7606421356421356,0.43905680598848906,0.6016252692830363
94,1.0,50,0.7361959935489347,0.4266734972716268,0.6233612259724498
95,1.0,60,0.7410979543332484,0.393195512654542,0.5640694993412385
96,1.0,70,0.7606845768610475,0.45560006094003225,0.6338234111021722
97,1.0,80,0.7557826160767338,0.4169899407319352,0.5782021841343876
