,N_Hidden,Step,N_Iter,Accuracy,Kappa,F1
0,3,0.1,10,0.6531279178338002,0.0,0.0
1,3,0.1,30,0.7720482132246839,0.4578700375511491,0.6121736011921324
2,3,0.1,50,0.7736609795433325,0.4626146227911385,0.6160953823093042
3,3,0.1,70,0.772026992615228,0.4595671719849047,0.6142998433215825
4,3,0.1,90,0.772026992615228,0.4595671719849047,0.6142998433215825
5,3,0.30000000000000004,10,0.7769395637042696,0.46703490152221594,0.6157390996100673
6,3,0.30000000000000004,30,0.7704036159918514,0.45235661437883024,0.6060027418723071
7,3,0.30000000000000004,50,0.7752737458619812,0.4645119950169304,0.6152944669774965
8,3,0.30000000000000004,70,0.7768759018759019,0.46656092263178894,0.6156147345788701
9,3,0.30000000000000004,90,0.7768865121806299,0.46887041393949747,0.6188843803817028
10,3,0.5000000000000001,10,0.7704142262965792,0.45282684060297335,0.6074709687475645
11,3,0.5000000000000001,30,0.7720163823105,0.4533419294575973,0.6043941499569849
12,3,0.5000000000000001,50,0.7752525252525253,0.4620913872035347,0.6118162306050505
13,3,0.5000000000000001,70,0.7687696290637467,0.4507517008105799,0.6065625196059978
14,3,0.5000000000000001,90,0.76714625244037,0.4470792133920962,0.6039831183309443
15,3,0.7000000000000001,10,0.7720269926152279,0.4547729731643565,0.6066594176634046
16,3,0.7000000000000001,30,0.7817672523554877,0.4752552938476382,0.618743449357579
17,3,0.7000000000000001,50,0.7720163823105,0.45476783970810297,0.606689144707578
18,3,0.7000000000000001,70,0.7704036159918513,0.45422981939436313,0.609418813513447
19,3,0.7000000000000001,90,0.76714625244037,0.44968377165263645,0.6096138159828014
20,3,0.9000000000000001,10,0.7720269926152279,0.4530584130106704,0.604193664238747
21,3,0.9000000000000001,30,0.7801438757321111,0.4716996760045049,0.6164354938429264
22,3,0.9000000000000001,50,0.7687802393684746,0.4470194057689857,0.6020945955146448
23,3,0.9000000000000001,70,0.767156862745098,0.4486335694781428,0.6081567120945981
24,3,0.9000000000000001,90,0.7655228758169934,0.4432786213792621,0.602077684738975
25,3,1.1000000000000003,10,0.7720163823105,0.4533419294575973,0.6043941499569849
26,3,1.1000000000000003,30,0.7768971224853578,0.46492090254449536,0.612835264011252
27,3,1.1000000000000003,50,0.7752843561667091,0.4607374931685405,0.6106539886426035
28,3,1.1000000000000003,70,0.7720163823105,0.45311681569059226,0.604644816981246
29,3,1.1000000000000003,90,0.7720482132246839,0.456380902901325,0.6090001565925462
30,4,0.1,10,0.6531279178338002,0.0,0.0
31,4,0.1,30,0.7720588235294118,0.45691458547258834,0.610373704843751
32,4,0.1,50,0.7736609795433325,0.4626146227911385,0.6160953823093042
33,4,0.1,70,0.7736503692386045,0.462755091447992,0.6159665099882492
34,4,0.1,90,0.772026992615228,0.4595671719849047,0.6142998433215825
35,4,0.30000000000000004,10,0.7752949664714371,0.46229891723369176,0.6112128146453089
36,4,0.30000000000000004,30,0.7720163823105,0.45513621763389733,0.6070343321274998
37,4,0.30000000000000004,50,0.780154486036839,0.47470823465038503,0.6206309290275649
38,4,0.30000000000000004,70,0.780154486036839,0.47777595597778155,0.625237462006079
39,4,0.30000000000000004,90,0.7704142262965793,0.45557194542898505,0.6094794832826748
40,4,0.5000000000000001,10,0.7704142262965792,0.4517266535993689,0.6055348096685482
41,4,0.5000000000000001,30,0.7801438757321111,0.47145203510555755,0.6155328691926629
42,4,0.5000000000000001,50,0.7736609795433326,0.4591295241244133,0.6079079165515335
43,4,0.5000000000000001,70,0.7687908496732027,0.4496544203425149,0.6028120755648846
44,4,0.5000000000000001,90,0.7687696290637467,0.4527113749178313,0.6080040939859591
45,4,0.7000000000000001,10,0.7720269926152279,0.4547729731643565,0.6066594176634046
46,4,0.7000000000000001,30,0.772005772005772,0.44991873057542275,0.598173068066685
47,4,0.7000000000000001,50,0.775294966471437,0.46768910405858716,0.619686062315707
48,4,0.7000000000000001,70,0.7720269926152279,0.462305807593061,0.6171803687056352
49,4,0.7000000000000001,90,0.759018759018759,0.4340887849716616,0.5996529046401169
50,4,0.9000000000000001,10,0.7736397589338766,0.45655562724518384,0.6060948302290938
51,4,0.9000000000000001,30,0.7720163823105,0.4547814514489785,0.6054800010985577
52,4,0.9000000000000001,50,0.7736503692386045,0.46519300318007845,0.6188782974042084
53,4,0.9000000000000001,70,0.7720269926152279,0.46200343452910286,0.6171542784563455
54,4,0.9000000000000001,90,0.7655016552075375,0.4445019098129358,0.6019533094136531
55,4,1.1000000000000003,10,0.7768865121806299,0.4629111149183611,0.6092513958856596
56,4,1.1000000000000003,30,0.7752737458619812,0.46200789707540085,0.6116527916527916
57,4,1.1000000000000003,50,0.7769077327900857,0.4709882412716598,0.6220082506490272
58,4,1.1000000000000003,70,0.7704036159918513,0.45375920530119673,0.6069237135413605
59,4,1.1000000000000003,90,0.7606315253374076,0.43465223786311913,0.5975772415989806
60,5,0.1,10,0.6612554112554113,0.035483875292179445,0.05592105263157895
61,5,0.1,30,0.7736822001527884,0.46304857113877357,0.616678105696637
62,5,0.1,50,0.7752843561667091,0.46570468482980476,0.6176071404280052
63,5,0.1,70,0.7768971224853578,0.47026875265017787,0.6211748433215825
64,5,0.1,90,0.7752631355572532,0.46672933751985357,0.6190126811594203
65,5,0.30000000000000004,10,0.7769395637042696,0.4680403491718642,0.6178330441488337
66,5,0.30000000000000004,30,0.7720376029199559,0.4566674854892784,0.6098596843688008
67,5,0.30000000000000004,50,0.7768971224853578,0.47312197317779003,0.6254540203393042
68,5,0.30000000000000004,70,0.7834224598930482,0.48941654984311167,0.6371930734984842
69,5,0.30000000000000004,90,0.775294966471437,0.46937887602207196,0.6224897349757372
70,5,0.5000000000000001,10,0.7736822001527884,0.46055578731385644,0.6124194223558119
71,5,0.5000000000000001,30,0.7769077327900857,0.46781270565808974,0.6160382944350336
72,5,0.5000000000000001,50,0.7769077327900857,0.4718012448956235,0.6224568477645728
73,5,0.5000000000000001,70,0.7769077327900857,0.4715178177021654,0.621891126205335
74,5,0.5000000000000001,90,0.7720376029199558,0.46288040737933334,0.6187706396484636
75,5,0.7000000000000001,10,0.7736822001527884,0.4615447893209221,0.6141376354142312
76,5,0.7000000000000001,30,0.7769183430948137,0.47066703603728,0.6206490146235961
77,5,0.7000000000000001,50,0.7752843561667091,0.46830710255382035,0.6202188854026595
78,5,0.7000000000000001,70,0.76714625244037,0.4519239755571439,0.6111288632792038
79,5,0.7000000000000001,90,0.7622761225702401,0.4445951863743445,0.6104679392979603
80,5,0.9000000000000001,10,0.775294966471437,0.46349092188230523,0.6133260843300713
81,5,0.9000000000000001,30,0.7801650963415669,0.4781392142410029,0.6258411807049374
82,5,0.9000000000000001,50,0.7768971224853578,0.47469586813544407,0.6272872552708697
83,5,0.9000000000000001,70,0.780154486036839,0.4853461719140897,0.6382450955260341
84,5,0.9000000000000001,90,0.7736503692386045,0.4719569201908653,0.631335168361805
85,5,1.1000000000000003,10,0.7736503692386045,0.456272110798257,0.6058943445108559
86,5,1.1000000000000003,30,0.7801650963415669,0.47868896847754494,0.6272087376325003
87,5,1.1000000000000003,50,0.7687908496732025,0.45469676411458304,0.6125344181127029
88,5,1.1000000000000003,70,0.7704036159918513,0.46305091454894665,0.623317177229693
89,5,1.1000000000000003,90,0.7703930056871233,0.4665979986956016,0.6282509821524485
